Quarter,Total Crimes,High Anxiety %,Low Happiness %,Year,QtrNum,Low Life Satisfaction %,Estimated Population,Crimes per 1000,House Price Change (%),Lagged House Price Change (%),Crime Level
Q1 2022,3000,21.13,8.55,2022,1,4.45,194648,15.41243681,9.033333333,,0
Q2 2022,4524,23.28,6.67,2022,2,4.32,194648,23.24195471,11.7,9.033333333,1
Q3 2022,3913,22.03,8.67,2022,3,4.62,194944,20.07243106,11.13333333,11.7,1
Q4 2022,3816,23.38,8.64,2022,4,4.61,195536,19.51558792,9.966666667,11.13333333,0
Q1 2023,3668,22.55,6.8,2023,1,5.15,196129,18.70197676,7.666666667,9.966666667,0
Q2 2023,4093,21.6,7.7,2023,2,5.6,196702,20.808126,2.333333333,7.666666667,1
Q3 2023,4246,21.8,10,2023,3,5.6,197974,21.44726075,-2.266666667,2.333333333,1
Q4 2023,4107,22.4,9.6,2023,4,6.1,199926,20.54260076,-5.366666667,-2.266666667,1
Q1 2024,3804,21.1,7.8,2024,1,4.6,201878,18.84306363,-6.2,-5.366666667,0
Q2 2024,3523,28.6,12.3,2024,2,9.3,203788,17.28757336,-3.366666667,-6.2,0
Q3 2024,4053,23.4,7.9,2024,3,3.7,204979,19.77275721,-0.4,-3.366666667,0
